time,membrane,spike,pulse
0.000474750,0.428270,0.0,0.000000
0.000475000,0.428431,0.0,0.000000
0.000475250,0.428592,0.0,0.000000
0.000475500,0.428752,0.0,0.000000
0.000475750,0.428913,0.0,0.000000
0.000476000,0.429074,0.0,0.000000
0.000476250,0.429234,0.0,0.000000
0.000476500,0.429395,0.0,0.000000
0.000476750,0.429556,0.0,0.000000
0.000477000,0.429716,0.0,0.000000
0.000477250,0.429877,0.0,0.000000
0.000477500,0.430037,0.0,0.000000
0.000477750,0.430197,0.0,0.000000
0.000478000,0.430358,0.0,0.000000
0.000478250,0.430518,0.0,0.000000
0.000478500,0.430679,0.0,0.000000
0.000478750,0.430839,0.0,0.000000
0.000479000,0.430999,0.0,0.000000
0.000479250,0.431159,0.0,0.000000
0.000479500,0.431319,0.0,0.000000
0.000479750,0.431480,0.0,0.000000
0.000480000,0.431640,0.0,0.000000
0.000480250,0.431800,0.0,0.000000
0.000480500,0.431960,0.0,0.000000
0.000480750,0.432120,0.0,0.000000
0.000481000,0.432280,0.0,0.000000
0.000481250,0.432440,0.0,0.000000
0.000481500,0.432600,0.0,0.000000
0.000481750,0.432760,0.0,0.000000
0.000482000,0.432920,0.0,0.000000
0.000482250,0.433079,0.0,0.000000
0.000482500,0.433239,0.0,0.000000
0.000482750,0.433399,0.0,0.000000
0.000483000,0.433559,0.0,0.000000
0.000483250,0.433718,0.0,0.000000
0.000483500,0.433878,0.0,0.000000
0.000483750,0.434038,0.0,0.000000
0.000484000,0.434197,0.0,0.000000
0.000484250,0.434357,0.0,0.000000
0.000484500,0.434516,0.0,0.000000
0.000484750,0.434676,0.0,0.000000
0.000485000,0.434835,0.0,0.000000
0.000485250,0.434995,0.0,0.000000
0.000485500,0.435154,0.0,0.000000
0.000485750,0.435313,0.0,0.000000
0.000486000,0.435473,0.0,0.000000
0.000486250,0.435632,0.0,0.000000
0.000486500,0.435791,0.0,0.000000
0.000486750,0.435951,0.0,0.000000
0.000487000,0.436110,0.0,0.000000
0.000487250,0.436269,0.0,0.000000
0.000487500,0.436428,0.0,0.000000
0.000487750,0.436587,0.0,0.000000
0.000488000,0.436746,0.0,0.000000
0.000488250,0.436905,0.0,0.000000
0.000488500,0.437064,0.0,0.000000
