case,n,best_mean_pct,best_std_pct,final_mean_pct,final_std_pct,best_min_pct,best_max_pct
syn_1p0_total_50,3,74.01,0.23036203390894766,73.99333333333334,0.22514193054357606,73.75,74.31
syn_3p0_total_50,3,83.57666666666667,0.12229290885229732,83.49666666666667,0.08730533902472819,83.41,83.7
syn_4p5_total_50,3,85.47666666666667,0.29555973263547364,85.35,0.29200456617434706,85.18,85.88
syn_6p0_total_100,3,86.15333333333334,0.60140576060501,86.06333333333333,0.6831463158715628,85.66,87.0
