time_s,v_mem,u_deflection,v_comp,v_ana,v_outmix,theta_over_vref
0.01652099999999587,2.488689033507848,0.011310966492152229,0,0.04524386596860808,0.04479590689961196,0.7594533600802407
0.01652199999999587,2.48869845538693,0.0113015446130703,0,0.04520617845228081,0.0447585925270107,0.7594533600802407
0.01652299999999587,2.4887078694177163,0.011292130582283694,0,0.04516852232913493,0.04472130923676726,0.7594533600802407
0.016523999999995872,2.4887172756067453,0.011282724393254893,0,0.04513089757301891,0.044684057002989025,0.7594533600802407
0.016524999999995873,2.488726673960548,0.011273326039451817,0,0.04509330415780788,0.044646835799809784,0.7594533600802407
0.016525999999995874,2.488736064485652,0.011263935514347833,0,0.04505574205739116,0.04460964560137738,0.7594533600802407
0.016526999999995875,2.4887454471885784,0.011254552811421742,0,0.0450182112456865,0.044572486381867824,0.7594533600802407
0.016527999999995876,2.488754822075842,0.011245177924157778,0,0.044980711696631204,0.04453535811547644,0.7594533600802407
0.016528999999995877,2.4887641891539545,0.011235810846045602,0,0.0449432433841821,0.044498260776417914,0.7594533600802407
0.016529999999995878,2.48877354842942,0.011226451570580298,0,0.04490580628232088,0.044461194338931566,0.7594533600802407
0.01653099999999588,2.488782899908738,0.01121710009126237,0,0.0448684003650488,0.04442415877727604,0.7594533600802407
0.01653199999999588,2.4887922435984025,0.011207756401597734,0,0.044831025606390185,0.044387154065732855,0.7594533600802407
0.01653299999999588,2.4888015795049023,0.011198420495097715,0,0.04479368198039069,0.04435018017860464,0.7594533600802407
0.016533999999995882,2.488810907634721,0.011189092365279046,0,0.0447563694611155,0.04431323709021336,0.7594533600802407
0.016534999999995883,2.4888202279943363,0.01117977200566386,0,0.044719088022654674,0.04427632477490562,0.7594533600802407
0.016535999999995884,2.48882954059022,0.011170459409779681,0,0.04468183763911959,0.0442394432070491,0.7594533600802407
0.016536999999995885,2.4888388454288406,0.01116115457115943,0,0.044644618284637616,0.04420259236102734,0.7594533600802407
0.016537999999995886,2.4888481425166584,0.011151857483341413,0,0.044607429933366305,0.04416577221125376,0.7594533600802407
0.016538999999995887,2.4888574318601306,0.01114256813986932,0,0.04457027255947743,0.044128982732155875,0.7594533600802407
0.016539999999995888,2.4888667134657076,0.011133286534292216,0,0.04453314613716941,0.04409222389818754,0.7594533600802407
0.01654099999999589,2.4888759873398354,0.01112401266016454,0,0.044496050640658424,0.04405549568382022,0.7594533600802407
0.01654199999999589,2.488885253488954,0.011114746511046105,0,0.044458986044183746,0.04401879806354826,0.7594533600802407
0.01654299999999589,2.488894511919498,0.01110548808050208,0,0.04442195232200774,0.04398213101188885,0.7594533600802407
0.016543999999995892,2.488903762637897,0.011096237362103004,0,0.044384949448412314,0.04394549450337853,0.7594533600802407
0.016544999999995893,2.4889130056505753,0.011086994349424763,0,0.04434797739769891,0.04390888851257318,0.7594533600802407
0.016545999999995894,2.4889222409639515,0.0110777590360486,0,0.04431103614419385,0.04387231301405332,0.7594533600802407
0.016546999999995895,2.488931468584439,0.0110685314155611,0,0.04427412566224476,0.04383576798242055,0.7594533600802407
0.016547999999995896,2.4889406885184457,0.011059311481554196,0,0.04423724592621703,0.04379925339229409,0.7594533600802407
0.016548999999995897,2.4889499007723748,0.011050099227625154,0,0.04420039691050093,0.04376276921831775,0.7594533600802407
0.016549999999995898,2.4889591053526234,0.011040894647376575,0,0.04416357858950626,0.04372631543515471,0.7594533600802407
0.0165509999999959,2.4889683022655835,0.011031697734416389,0,0.044126790937665916,0.043689892017491,0.7594533600802407
0.0165519999999959,2.4889774915176424,0.011022508482357852,0,0.04409003392943056,0.04365349894003026,0.7594533600802407
0.0165529999999959,2.4889866731151806,0.011013326884819536,0,0.0440533075392775,0.04361713617750247,0.7594533600802407
0.016553999999995902,2.4889958470645746,0.011004152935425332,0,0.044016611741701794,0.04358080370465524,0.7594533600802407
0.016554999999995903,2.4890050133721955,0.010994986627804444,0,0.04397994651121806,0.0435445014962555,0.7594533600802407
0.016555999999995904,2.4890141720444086,0.010985827955591377,0,0.04394331182236577,0.04350822952709482,0.7594533600802407
0.016556999999995905,2.489023323087574,0.010976676912425943,0,0.04390670764970395,0.043471987771984105,0.7594533600802407
0.016557999999995906,2.4890324665080468,0.01096753349195325,0,0.04387013396781292,0.043435776205755366,0.7594533600802407
0.016558999999995907,2.4890416023121764,0.010958397687823702,0,0.04383359075129434,0.04339959480326172,0.7594533600802407
0.016559999999995908,2.489050730506307,0.010949269493692989,0,0.04379707797477117,0.0433634435393774,0.7594533600802407
0.01656099999999591,2.489059851096778,0.010940148903222086,0,0.0437605956128877,0.04332732238899772,0.7594533600802407
0.01656199999999591,2.4890689640899226,0.01093103591007725,0,0.04372414364030952,0.04329123132703913,0.7594533600802407
0.01656299999999591,2.48907806949207,0.010921930507930012,0,0.04368772203172,0.04325517032843564,0.7594533600802407
0.016563999999995912,2.4890871673095427,0.010912832690457178,0,0.043651330761829144,0.04321913936814767,0.7594533600802407
0.016564999999995913,2.4890962575486593,0.010903742451340818,0,0.043614969805362946,0.04318313842115143,0.7594533600802407
0.016565999999995914,2.489105340215732,0.010894659784268264,0,0.04357863913707227,0.043147167462447795,0.7594533600802407
0.016566999999995915,2.4891144153170677,0.01088558468293211,0,0.0435423387317293,0.043111226467058714,0.7594533600802407
0.016567999999995916,2.48912348285897,0.0108765171410302,0,0.043506068564120426,0.04307531541002022,0.7594533600802407
0.016568999999995917,2.4891325428477344,0.010867457152265631,0,0.04346982860906223,0.04303943426639825,0.7594533600802407
0.016569999999995918,2.489141595289653,0.010858404710346744,0,0.0434336188413873,0.043003583011274556,0.7594533600802407
0.01657099999999592,2.489150640191013,0.01084935980898712,0,0.04339743923594774,0.04296776161975024,0.7594533600802407
0.01657199999999592,2.4891596775580944,0.010840322441905576,0,0.043361289767622324,0.0429319700669528,0.7594533600802407
0.01657299999999592,2.489168707397174,0.010831292602826163,0,0.043325170411304015,0.04289620832802378,0.7594533600802407
0.016573999999995922,2.489177729714522,0.01082227028547816,0,0.04328908114191243,0.04286047637813112,0.7594533600802407
0.016574999999995923,2.4891867445164038,0.010813255483596068,0,0.04325302193438496,0.042824774192460356,0.7594533600802407
0.016575999999995924,2.4891957518090804,0.010804248190919609,0,0.04321699276367852,0.042789101746216356,0.7594533600802407
0.016576999999995925,2.4892047515988063,0.010795248401193716,0,0.0431809936047749,0.04275345901462861,0.7594533600802407
0.016577999999995926,2.4892137438918316,0.010786256108168534,0,0.04314502443267365,0.04271784597294421,0.7594533600802407
0.016578999999995927,2.4892227286944006,0.010777271305599417,0,0.043109085222397425,0.042682262596433096,0.7594533600802407
0.016579999999995928,2.489231706012753,0.010768293987246918,0,0.04307317594898841,0.04264670886038456,0.7594533600802407
0.01658099999999593,2.4892406758531234,0.010759324146876787,0,0.043037296587506546,0.042611184740105494,0.7594533600802407
0.01658199999999593,2.48924963822174,0.010750361778259969,0,0.043001447113040214,0.042575690210930904,0.7594533600802407
