 0.00000000e+00  2.50000000e+00  0.00000000e+00 -3.46972547e-25  0.00000000e+00  6.93945095e-26 
 1.00000000e-08  2.50001000e+00  1.00000000e-08 -3.46965729e-25  1.00000000e-08  5.80296507e-26 
 2.00000000e-08  2.50002000e+00  2.00000000e-08 -3.46958766e-25  2.00000000e-08  4.83193435e-26 
 4.00000000e-08  2.50004000e+00  4.00000000e-08 -3.46944832e-25  4.00000000e-08  3.21200446e-26 
 8.00000000e-08  2.50008000e+00  8.00000000e-08 -3.46916875e-25  8.00000000e-08  1.34764276e-26 
 1.60000000e-07  2.50015999e+00  1.60000000e-07 -3.46860851e-25  1.60000000e-07  9.16915504e-28 
 3.20000000e-07  2.50031996e+00  3.20000000e-07 -3.46749144e-25  3.20000000e-07 -7.72390083e-28 
 6.40000000e-07  2.50063983e+00  6.40000000e-07 -3.46526784e-25  6.40000000e-07  1.60903170e-28 
 1.28000000e-06  2.50127932e+00  1.28000000e-06 -3.46083449e-25  1.28000000e-06 -1.34855070e-28 
 2.28000000e-06  2.50227784e+00  2.28000000e-06 -3.45392000e-25  2.28000000e-06  1.15192588e-28 
 3.28000000e-06  2.50327552e+00  3.28000000e-06 -3.44701904e-25  3.28000000e-06 -9.47115343e-29 
 4.28000000e-06  2.50427238e+00  4.28000000e-06 -3.44013190e-25  4.28000000e-06  7.76268314e-29 
 5.28000000e-06  2.50526840e+00  5.28000000e-06 -3.43325850e-25  5.28000000e-06 -6.36432733e-29 
 6.28000000e-06  2.50626359e+00  6.28000000e-06 -3.42639885e-25  6.28000000e-06  5.21689138e-29 
 7.28000000e-06  2.50725796e+00  7.28000000e-06 -3.41955289e-25  7.28000000e-06 -4.27734939e-29 
 8.28000000e-06  2.50825150e+00  8.28000000e-06 -3.41272062e-25  8.28000000e-06  3.50599420e-29 
 9.28000000e-06  2.50924421e+00  9.28000000e-06 -3.40590199e-25  9.28000000e-06 -2.87476006e-29 
 1.02800000e-05  2.51023609e+00  1.02800000e-05 -3.39909700e-25  1.02800000e-05  2.35615906e-29 
 1.12800000e-05  2.51122714e+00  1.12800000e-05 -3.39230559e-25  1.12800000e-05 -1.93212737e-29 
 1.22800000e-05  2.51221737e+00  1.22800000e-05 -3.38552776e-25  1.22800000e-05  1.58339460e-29 
 1.32800000e-05  2.51320678e+00  1.32800000e-05 -3.37876347e-25  1.32800000e-05 -1.29861579e-29 
 1.42800000e-05  2.51419536e+00  1.42800000e-05 -3.37201269e-25  1.42800000e-05  1.06404645e-29 
 1.52800000e-05  2.51518312e+00  1.52800000e-05 -3.36527540e-25  1.52800000e-05 -8.72853933e-30 
 1.62800000e-05  2.51617005e+00  1.62800000e-05 -3.35855158e-25  1.62800000e-05  7.15010715e-30 
 1.72800000e-05  2.51715617e+00  1.72800000e-05 -3.35184118e-25  1.72800000e-05 -5.86713564e-30 
 1.82800000e-05  2.51814146e+00  1.82800000e-05 -3.34514420e-25  1.82800000e-05  4.80436134e-30 
 1.92800000e-05  2.51912593e+00  1.92800000e-05 -3.33846059e-25  1.92800000e-05 -3.94408020e-30 
 2.02800000e-05  2.52010958e+00  2.02800000e-05 -3.33179034e-25  2.02800000e-05  3.22786976e-30 
 2.12800000e-05  2.52109241e+00  2.12800000e-05 -3.32513342e-25  2.12800000e-05 -2.65165653e-30 
 2.22800000e-05  2.52207442e+00  2.22800000e-05 -3.31848979e-25  2.22800000e-05  2.16836761e-30 
 2.32800000e-05  2.52305561e+00  2.32800000e-05 -3.31185944e-25  2.32800000e-05 -1.78305890e-30 
 2.42800000e-05  2.52403599e+00  2.42800000e-05 -3.30524234e-25  2.42800000e-05  1.45631635e-30 
 2.52800000e-05  2.52501555e+00  2.52800000e-05 -3.29863846e-25  2.52800000e-05 -1.19930028e-30 
 2.62800000e-05  2.52599429e+00  2.62800000e-05 -3.29204777e-25  2.62800000e-05  9.77774924e-31 
 2.72800000e-05  2.52697222e+00  2.72800000e-05 -3.28547025e-25  2.72800000e-05 -8.06972221e-31 
 2.82800000e-05  2.52794933e+00  2.82800000e-05 -3.27890588e-25  2.82800000e-05  6.56167462e-31 
 2.92800000e-05  2.52892563e+00  2.92800000e-05 -3.27235462e-25  2.92800000e-05 -5.43298109e-31 
 3.02800000e-05  2.52990112e+00  3.02800000e-05 -3.26581645e-25  3.02800000e-05  4.40029929e-31 
