time,membrane,spike,pulse
0.000000000,0.000000,0.0,0.000000
0.000001000,0.001000,0.0,0.000000
0.000002000,0.001999,0.0,0.000000
0.000003000,0.002998,0.0,0.000000
0.000004000,0.003995,0.0,0.000000
0.000005000,0.004992,0.0,0.000000
0.000006000,0.005988,0.0,0.000000
0.000007000,0.006983,0.0,0.000000
0.000008000,0.007977,0.0,0.000000
0.000009000,0.008970,0.0,0.000000
0.000010000,0.009963,0.0,0.000000
0.000011000,0.010954,0.0,0.000000
0.000012000,0.011945,0.0,0.000000
0.000013000,0.012935,0.0,0.000000
0.000014000,0.013924,0.0,0.000000
0.000015000,0.014913,0.0,0.000000
0.000016000,0.015900,0.0,0.000000
0.000017000,0.016887,0.0,0.000000
0.000018000,0.017873,0.0,0.000000
0.000019000,0.018858,0.0,0.000000
0.000020000,0.019843,0.0,0.000000
0.000021000,0.020826,0.0,0.000000
0.000022000,0.021809,0.0,0.000000
0.000023000,0.022790,0.0,0.000000
0.000024000,0.023772,0.0,0.000000
0.000025000,0.024752,0.0,0.000000
0.000026000,0.025731,0.0,0.000000
0.000027000,0.026710,0.0,0.000000
0.000028000,0.027687,0.0,0.000000
0.000029000,0.028664,0.0,0.000000
0.000030000,0.029640,0.0,0.000000
0.000031000,0.030616,0.0,0.000000
0.000032000,0.031590,0.0,0.000000
0.000033000,0.032564,0.0,0.000000
0.000034000,0.033537,0.0,0.000000
0.000035000,0.034509,0.0,0.000000
0.000036000,0.035480,0.0,0.000000
0.000037000,0.036451,0.0,0.000000
0.000038000,0.037420,0.0,0.000000
0.000039000,0.038389,0.0,0.000000
0.000040000,0.039357,0.0,0.000000
0.000041000,0.040324,0.0,0.000000
0.000042000,0.041291,0.0,0.000000
0.000043000,0.042256,0.0,0.000000
0.000044000,0.043221,0.0,0.000000
0.000045000,0.044185,0.0,0.000000
0.000046000,0.045148,0.0,0.000000
0.000047000,0.046111,0.0,0.000000
0.000048000,0.047072,0.0,0.000000
0.000049000,0.048033,0.0,0.000000
0.000050000,0.048993,0.0,0.000000
0.000051000,0.049952,0.0,0.000000
0.000052000,0.050911,0.0,0.000000
0.000053000,0.051868,0.0,0.000000
0.000054000,0.052825,0.0,0.000000
0.000055000,0.053781,0.0,0.000000
0.000056000,0.054736,0.0,0.000000
0.000057000,0.055691,0.0,0.000000
0.000058000,0.056644,0.0,0.000000
0.000059000,0.057597,0.0,0.000000
0.000060000,0.058549,0.0,0.000000
0.000061000,0.059500,0.0,0.000000
0.000062000,0.060451,0.0,0.000000
0.000063000,0.061400,0.0,0.000000
0.000064000,0.062349,0.0,0.000000
0.000065000,0.063297,0.0,0.000000
0.000066000,0.064245,0.0,0.000000
0.000067000,0.065191,0.0,0.000000
0.000068000,0.066137,0.0,0.000000
0.000069000,0.067082,0.0,0.000000
0.000070000,0.068026,0.0,0.000000
0.000071000,0.068969,0.0,0.000000
0.000072000,0.069912,0.0,0.000000
0.000073000,0.070853,0.0,0.000000
0.000074000,0.071794,0.0,0.000000
0.000075000,0.072735,0.0,0.000000
0.000076000,0.073674,0.0,0.000000
0.000077000,0.074613,0.0,0.000000
0.000078000,0.075551,0.0,0.000000
0.000079000,0.076488,0.0,0.000000
0.000080000,0.077424,0.0,0.000000
0.000081000,0.078359,0.0,0.000000
0.000082000,0.079294,0.0,0.000000
0.000083000,0.080228,0.0,0.000000
0.000084000,0.081161,0.0,0.000000
0.000085000,0.082094,0.0,0.000000
0.000086000,0.083025,0.0,0.000000
0.000087000,0.083956,0.0,0.000000
0.000088000,0.084886,0.0,0.000000
0.000089000,0.085815,0.0,0.000000
0.000090000,0.086744,0.0,0.000000
0.000091000,0.087672,0.0,0.000000
0.000092000,0.088599,0.0,0.000000
0.000093000,0.089525,0.0,0.000000
0.000094000,0.090450,0.0,0.000000
0.000095000,0.091375,0.0,0.000000
0.000096000,0.092299,0.0,0.000000
0.000097000,0.093222,0.0,0.000000
0.000098000,0.094144,0.0,0.000000
0.000099000,0.095066,0.0,0.000000
0.000100000,0.095987,0.0,0.000000
0.000101000,0.096907,0.0,0.000000
0.000102000,0.097826,0.0,0.000000
0.000103000,0.098745,0.0,0.000000
0.000104000,0.099662,0.0,0.000000
0.000105000,0.100579,0.0,0.000000
0.000106000,0.101496,0.0,0.000000
0.000107000,0.102411,0.0,0.000000
0.000108000,0.103326,0.0,0.000000
0.000109000,0.104240,0.0,0.000000
0.000110000,0.105153,0.0,0.000000
0.000111000,0.106065,0.0,0.000000
0.000112000,0.106977,0.0,0.000000
0.000113000,0.107888,0.0,0.000000
0.000114000,0.108798,0.0,0.000000
0.000115000,0.109707,0.0,0.000000
0.000116000,0.110616,0.0,0.000000
0.000117000,0.111524,0.0,0.000000
0.000118000,0.112431,0.0,0.000000
0.000119000,0.113337,0.0,0.000000
0.000120000,0.114243,0.0,0.000000
0.000121000,0.115148,0.0,0.000000
0.000122000,0.116052,0.0,0.000000
0.000123000,0.116955,0.0,0.000000
0.000124000,0.117858,0.0,0.000000
0.000125000,0.118759,0.0,0.000000
0.000126000,0.119661,0.0,0.000000
0.000127000,0.120561,0.0,0.000000
0.000128000,0.121460,0.0,0.000000
0.000129000,0.122359,0.0,0.000000
0.000130000,0.123257,0.0,0.000000
0.000131000,0.124155,0.0,0.000000
0.000132000,0.125051,0.0,0.000000
0.000133000,0.125947,0.0,0.000000
0.000134000,0.126842,0.0,0.000000
0.000135000,0.127737,0.0,0.000000
0.000136000,0.128630,0.0,0.000000
0.000137000,0.129523,0.0,0.000000
0.000138000,0.130415,0.0,0.000000
0.000139000,0.131307,0.0,0.000000
0.000140000,0.132197,0.0,0.000000
0.000141000,0.133087,0.0,0.000000
0.000142000,0.133976,0.0,0.000000
0.000143000,0.134865,0.0,0.000000
0.000144000,0.135752,0.0,0.000000
0.000145000,0.136639,0.0,0.000000
0.000146000,0.137525,0.0,0.000000
0.000147000,0.138411,0.0,0.000000
0.000148000,0.139296,0.0,0.000000
0.000149000,0.140179,0.0,0.000000
0.000150000,0.141063,0.0,0.000000
0.000151000,0.141945,0.0,0.000000
0.000152000,0.142827,0.0,0.000000
0.000153000,0.143708,0.0,0.000000
0.000154000,0.144588,0.0,0.000000
0.000155000,0.145468,0.0,0.000000
0.000156000,0.146347,0.0,0.000000
0.000157000,0.147225,0.0,0.000000
0.000158000,0.148102,0.0,0.000000
0.000159000,0.148979,0.0,0.000000
0.000160000,0.149855,0.0,0.000000
0.000161000,0.150730,0.0,0.000000
0.000162000,0.151604,0.0,0.000000
0.000163000,0.152478,0.0,0.000000
0.000164000,0.153351,0.0,0.000000
0.000165000,0.154223,0.0,0.000000
0.000166000,0.155095,0.0,0.000000
0.000167000,0.155966,0.0,0.000000
0.000168000,0.156836,0.0,0.000000
0.000169000,0.157705,0.0,0.000000
0.000170000,0.158574,0.0,0.000000
0.000171000,0.159442,0.0,0.000000
0.000172000,0.160309,0.0,0.000000
0.000173000,0.161175,0.0,0.000000
0.000174000,0.162041,0.0,0.000000
0.000175000,0.162906,0.0,0.000000
0.000176000,0.163770,0.0,0.000000
0.000177000,0.164634,0.0,0.000000
0.000178000,0.165497,0.0,0.000000
0.000179000,0.166359,0.0,0.000000
0.000180000,0.167220,0.0,0.000000
0.000181000,0.168081,0.0,0.000000
0.000182000,0.168941,0.0,0.000000
0.000183000,0.169800,0.0,0.000000
0.000184000,0.170659,0.0,0.000000
0.000185000,0.171517,0.0,0.000000
0.000186000,0.172374,0.0,0.000000
0.000187000,0.173230,0.0,0.000000
0.000188000,0.174086,0.0,0.000000
0.000189000,0.174941,0.0,0.000000
0.000190000,0.175795,0.0,0.000000
0.000191000,0.176649,0.0,0.000000
0.000192000,0.177502,0.0,0.000000
0.000193000,0.178354,0.0,0.000000
0.000194000,0.179205,0.0,0.000000
0.000195000,0.180056,0.0,0.000000
0.000196000,0.180906,0.0,0.000000
0.000197000,0.181755,0.0,0.000000
0.000198000,0.182604,0.0,0.000000
0.000199000,0.183452,0.0,0.000000
0.000200000,0.184299,0.0,0.000000
0.000201000,0.185146,0.0,0.000000
0.000202000,0.185991,0.0,0.000000
0.000203000,0.186836,0.0,0.000000
0.000204000,0.187681,0.0,0.000000
0.000205000,0.188524,0.0,0.000000
0.000206000,0.189367,0.0,0.000000
0.000207000,0.190210,0.0,0.000000
0.000208000,0.191051,0.0,0.000000
0.000209000,0.191892,0.0,0.000000
0.000210000,0.192732,0.0,0.000000
0.000211000,0.193572,0.0,0.000000
0.000212000,0.194410,0.0,0.000000
0.000213000,0.195249,0.0,0.000000
0.000214000,0.196086,0.0,0.000000
0.000215000,0.196923,0.0,0.000000
0.000216000,0.197759,0.0,0.000000
0.000217000,0.198594,0.0,0.000000
0.000218000,0.199428,0.0,0.000000
0.000219000,0.200262,0.0,0.000000
0.000220000,0.201095,0.0,0.000000
0.000221000,0.201928,0.0,0.000000
0.000222000,0.202760,0.0,0.000000
0.000223000,0.203591,0.0,0.000000
0.000224000,0.204421,0.0,0.000000
0.000225000,0.205251,0.0,0.000000
0.000226000,0.206080,0.0,0.000000
0.000227000,0.206908,0.0,0.000000
0.000228000,0.207736,0.0,0.000000
0.000229000,0.208563,0.0,0.000000
0.000230000,0.209389,0.0,0.000000
0.000231000,0.210215,0.0,0.000000
0.000232000,0.211040,0.0,0.000000
0.000233000,0.211864,0.0,0.000000
0.000234000,0.212688,0.0,0.000000
0.000235000,0.213510,0.0,0.000000
0.000236000,0.214333,0.0,0.000000
0.000237000,0.215154,0.0,0.000000
0.000238000,0.215975,0.0,0.000000
0.000239000,0.216795,0.0,0.000000
0.000240000,0.217614,0.0,0.000000
0.000241000,0.218433,0.0,0.000000
0.000242000,0.219251,0.0,0.000000
0.000243000,0.220068,0.0,0.000000
0.000244000,0.220885,0.0,0.000000
0.000245000,0.221701,0.0,0.000000
0.000246000,0.222516,0.0,0.000000
0.000247000,0.223331,0.0,0.000000
0.000248000,0.224145,0.0,0.000000
0.000249000,0.224958,0.0,0.000000
0.000250000,0.225771,0.0,0.000000
0.000251000,0.226583,0.0,0.000000
0.000252000,0.227394,0.0,0.000000
0.000253000,0.228205,0.0,0.000000
0.000254000,0.229015,0.0,0.000000
0.000255000,0.229824,0.0,0.000000
0.000256000,0.230633,0.0,0.000000
0.000257000,0.231440,0.0,0.000000
0.000258000,0.232248,0.0,0.000000
0.000259000,0.233054,0.0,0.000000
0.000260000,0.233860,0.0,0.000000
0.000261000,0.234665,0.0,0.000000
0.000262000,0.235470,0.0,0.000000
0.000263000,0.236274,0.0,0.000000
0.000264000,0.237077,0.0,0.000000
0.000265000,0.237879,0.0,0.000000
0.000266000,0.238681,0.0,0.000000
0.000267000,0.239482,0.0,0.000000
0.000268000,0.240283,0.0,0.000000
0.000269000,0.241083,0.0,0.000000
0.000270000,0.241882,0.0,0.000000
0.000271000,0.242680,0.0,0.000000
0.000272000,0.243478,0.0,0.000000
0.000273000,0.244275,0.0,0.000000
0.000274000,0.245072,0.0,0.000000
0.000275000,0.245868,0.0,0.000000
0.000276000,0.246663,0.0,0.000000
0.000277000,0.247458,0.0,0.000000
0.000278000,0.248251,0.0,0.000000
0.000279000,0.249045,0.0,0.000000
0.000280000,0.249837,0.0,0.000000
0.000281000,0.250629,0.0,0.000000
0.000282000,0.251420,0.0,0.000000
0.000283000,0.252211,0.0,0.000000
0.000284000,0.253001,0.0,0.000000
0.000285000,0.253790,0.0,0.000000
0.000286000,0.254579,0.0,0.000000
0.000287000,0.255367,0.0,0.000000
0.000288000,0.256154,0.0,0.000000
0.000289000,0.256941,0.0,0.000000
0.000290000,0.257727,0.0,0.000000
0.000291000,0.258512,0.0,0.000000
0.000292000,0.259297,0.0,0.000000
0.000293000,0.260081,0.0,0.000000
0.000294000,0.260864,0.0,0.000000
0.000295000,0.261647,0.0,0.000000
0.000296000,0.262429,0.0,0.000000
0.000297000,0.263210,0.0,0.000000
0.000298000,0.263991,0.0,0.000000
0.000299000,0.264771,0.0,0.000000
0.000300000,0.265550,0.0,0.000000
0.000301000,0.266329,0.0,0.000000
0.000302000,0.267107,0.0,0.000000
0.000303000,0.267885,0.0,0.000000
0.000304000,0.268662,0.0,0.000000
0.000305000,0.269438,0.0,0.000000
0.000306000,0.270213,0.0,0.000000
0.000307000,0.270988,0.0,0.000000
0.000308000,0.271762,0.0,0.000000
0.000309000,0.272536,0.0,0.000000
0.000310000,0.273309,0.0,0.000000
0.000311000,0.274081,0.0,0.000000
0.000312000,0.274853,0.0,0.000000
0.000313000,0.275624,0.0,0.000000
0.000314000,0.276394,0.0,0.000000
0.000315000,0.277164,0.0,0.000000
0.000316000,0.277933,0.0,0.000000
0.000317000,0.278702,0.0,0.000000
0.000318000,0.279470,0.0,0.000000
0.000319000,0.280237,0.0,0.000000
0.000320000,0.281003,0.0,0.000000
0.000321000,0.281769,0.0,0.000000
0.000322000,0.282535,0.0,0.000000
0.000323000,0.283299,0.0,0.000000
0.000324000,0.284063,0.0,0.000000
0.000325000,0.284827,0.0,0.000000
0.000326000,0.285589,0.0,0.000000
0.000327000,0.286351,0.0,0.000000
0.000328000,0.287113,0.0,0.000000
0.000329000,0.287874,0.0,0.000000
0.000330000,0.288634,0.0,0.000000
0.000331000,0.289394,0.0,0.000000
0.000332000,0.290152,0.0,0.000000
0.000333000,0.290911,0.0,0.000000
0.000334000,0.291668,0.0,0.000000
0.000335000,0.292425,0.0,0.000000
0.000336000,0.293182,0.0,0.000000
0.000337000,0.293938,0.0,0.000000
0.000338000,0.294693,0.0,0.000000
0.000339000,0.295447,0.0,0.000000
0.000340000,0.296201,0.0,0.000000
0.000341000,0.296954,0.0,0.000000
0.000342000,0.297707,0.0,0.000000
0.000343000,0.298459,0.0,0.000000
0.000344000,0.299210,0.0,0.000000
0.000345000,0.299961,0.0,0.000000
0.000346000,0.300711,0.0,0.000000
0.000347000,0.301461,0.0,0.000000
0.000348000,0.302210,0.0,0.000000
0.000349000,0.302958,0.0,0.000000
0.000350000,0.303706,0.0,0.000000
0.000351000,0.304453,0.0,0.000000
0.000352000,0.305199,0.0,0.000000
0.000353000,0.305945,0.0,0.000000
0.000354000,0.306690,0.0,0.000000
0.000355000,0.307434,0.0,0.000000
0.000356000,0.308178,0.0,0.000000
0.000357000,0.308922,0.0,0.000000
0.000358000,0.309664,0.0,0.000000
0.000359000,0.310406,0.0,0.000000
0.000360000,0.311148,0.0,0.000000
0.000361000,0.311888,0.0,0.000000
0.000362000,0.312629,0.0,0.000000
0.000363000,0.313368,0.0,0.000000
0.000364000,0.314107,0.0,0.000000
0.000365000,0.314846,0.0,0.000000
0.000366000,0.315583,0.0,0.000000
0.000367000,0.316320,0.0,0.000000
0.000368000,0.317057,0.0,0.000000
0.000369000,0.317793,0.0,0.000000
0.000370000,0.318528,0.0,0.000000
0.000371000,0.319263,0.0,0.000000
0.000372000,0.319997,0.0,0.000000
0.000373000,0.320730,0.0,0.000000
0.000374000,0.321463,0.0,0.000000
0.000375000,0.322195,0.0,0.000000
0.000376000,0.322927,0.0,0.000000
0.000377000,0.323658,0.0,0.000000
0.000378000,0.324388,0.0,0.000000
0.000379000,0.325118,0.0,0.000000
0.000380000,0.325847,0.0,0.000000
0.000381000,0.326576,0.0,0.000000
0.000382000,0.327304,0.0,0.000000
0.000383000,0.328031,0.0,0.000000
0.000384000,0.328758,0.0,0.000000
0.000385000,0.329484,0.0,0.000000
0.000386000,0.330209,0.0,0.000000
0.000387000,0.330934,0.0,0.000000
0.000388000,0.331659,0.0,0.000000
0.000389000,0.332382,0.0,0.000000
0.000390000,0.333106,0.0,0.000000
0.000391000,0.333828,0.0,0.000000
0.000392000,0.334550,0.0,0.000000
0.000393000,0.335271,0.0,0.000000
0.000394000,0.335992,0.0,0.000000
0.000395000,0.336712,0.0,0.000000
0.000396000,0.337432,0.0,0.000000
0.000397000,0.338151,0.0,0.000000
0.000398000,0.338869,0.0,0.000000
0.000399000,0.339587,0.0,0.000000
0.000400000,0.340304,0.0,0.000000
0.000401000,0.341020,0.0,0.000000
0.000402000,0.341736,0.0,0.000000
0.000403000,0.342452,0.0,0.000000
0.000404000,0.343166,0.0,0.000000
0.000405000,0.343880,0.0,0.000000
0.000406000,0.344594,0.0,0.000000
0.000407000,0.345307,0.0,0.000000
0.000408000,0.346019,0.0,0.000000
0.000409000,0.346731,0.0,0.000000
0.000410000,0.347442,0.0,0.000000
0.000411000,0.348153,0.0,0.000000
0.000412000,0.348863,0.0,0.000000
0.000413000,0.349572,0.0,0.000000
0.000414000,0.350281,0.0,0.000000
0.000415000,0.350989,0.0,0.000000
0.000416000,0.351697,0.0,0.000000
0.000417000,0.352404,0.0,0.000000
0.000418000,0.353110,0.0,0.000000
0.000419000,0.353816,0.0,0.000000
0.000420000,0.354521,0.0,0.000000
0.000421000,0.355226,0.0,0.000000
0.000422000,0.355930,0.0,0.000000
0.000423000,0.356634,0.0,0.000000
0.000424000,0.357337,0.0,0.000000
0.000425000,0.358039,0.0,0.000000
