signal,rms_error,mean_abs_error,max_abs_error,max_abs_error_time,sample_count
v_mem,5.995850e-04,2.967198e-04,5.537780e-03,5.001000e-03,50000
v_comp,2.448463e-01,1.333247e-02,4.764472e+00,5.199000e-03,50000
v_outmix,1.505190e-01,9.278750e-03,3.094117e+00,5.199000e-03,50000
v_ana,1.208999e-03,5.997303e-04,1.107570e-02,5.001000e-03,50000
