time,mem_a,pulse_a,mem_b,pulse_b,i_b
0.000000000,0.000000,0.000000,0.000000,0.000000,0.000000e0
0.000000250,0.000250,0.000000,0.000000,0.000000,0.000000e0
0.000000500,0.000500,0.000000,0.000000,0.000000,0.000000e0
0.000000750,0.000750,0.000000,0.000000,0.000000,0.000000e0
0.000001000,0.001000,0.000000,0.000000,0.000000,0.000000e0
0.000001250,0.001249,0.000000,0.000000,0.000000,0.000000e0
0.000001500,0.001499,0.000000,0.000000,0.000000,0.000000e0
0.000001750,0.001749,0.000000,0.000000,0.000000,0.000000e0
0.000002000,0.001999,0.000000,0.000000,0.000000,0.000000e0
0.000002250,0.002248,0.000000,0.000000,0.000000,0.000000e0
0.000002500,0.002498,0.000000,0.000000,0.000000,0.000000e0
0.000002750,0.002747,0.000000,0.000000,0.000000,0.000000e0
0.000003000,0.002997,0.000000,0.000000,0.000000,0.000000e0
0.000003250,0.003246,0.000000,0.000000,0.000000,0.000000e0
0.000003500,0.003495,0.000000,0.000000,0.000000,0.000000e0
0.000003750,0.003745,0.000000,0.000000,0.000000,0.000000e0
0.000004000,0.003994,0.000000,0.000000,0.000000,0.000000e0
0.000004250,0.004243,0.000000,0.000000,0.000000,0.000000e0
0.000004500,0.004492,0.000000,0.000000,0.000000,0.000000e0
0.000004750,0.004741,0.000000,0.000000,0.000000,0.000000e0
0.000005000,0.004990,0.000000,0.000000,0.000000,0.000000e0
0.000005250,0.005239,0.000000,0.000000,0.000000,0.000000e0
0.000005500,0.005488,0.000000,0.000000,0.000000,0.000000e0
0.000005750,0.005737,0.000000,0.000000,0.000000,0.000000e0
0.000006000,0.005986,0.000000,0.000000,0.000000,0.000000e0
0.000006250,0.006234,0.000000,0.000000,0.000000,0.000000e0
0.000006500,0.006483,0.000000,0.000000,0.000000,0.000000e0
0.000006750,0.006732,0.000000,0.000000,0.000000,0.000000e0
0.000007000,0.006980,0.000000,0.000000,0.000000,0.000000e0
0.000007250,0.007229,0.000000,0.000000,0.000000,0.000000e0
0.000007500,0.007477,0.000000,0.000000,0.000000,0.000000e0
0.000007750,0.007726,0.000000,0.000000,0.000000,0.000000e0
0.000008000,0.007974,0.000000,0.000000,0.000000,0.000000e0
0.000008250,0.008223,0.000000,0.000000,0.000000,0.000000e0
0.000008500,0.008471,0.000000,0.000000,0.000000,0.000000e0
0.000008750,0.008719,0.000000,0.000000,0.000000,0.000000e0
0.000009000,0.008967,0.000000,0.000000,0.000000,0.000000e0
0.000009250,0.009215,0.000000,0.000000,0.000000,0.000000e0
0.000009500,0.009463,0.000000,0.000000,0.000000,0.000000e0
0.000009750,0.009712,0.000000,0.000000,0.000000,0.000000e0
0.000010000,0.009959,0.000000,0.000000,0.000000,0.000000e0
0.000010250,0.010207,0.000000,0.000000,0.000000,0.000000e0
0.000010500,0.010455,0.000000,0.000000,0.000000,0.000000e0
0.000010750,0.010703,0.000000,0.000000,0.000000,0.000000e0
0.000011000,0.010951,0.000000,0.000000,0.000000,0.000000e0
0.000011250,0.011199,0.000000,0.000000,0.000000,0.000000e0
0.000011500,0.011446,0.000000,0.000000,0.000000,0.000000e0
0.000011750,0.011694,0.000000,0.000000,0.000000,0.000000e0
0.000012000,0.011941,0.000000,0.000000,0.000000,0.000000e0
0.000012250,0.012189,0.000000,0.000000,0.000000,0.000000e0
0.000012500,0.012436,0.000000,0.000000,0.000000,0.000000e0
0.000012750,0.012684,0.000000,0.000000,0.000000,0.000000e0
0.000013000,0.012931,0.000000,0.000000,0.000000,0.000000e0
0.000013250,0.013178,0.000000,0.000000,0.000000,0.000000e0
0.000013500,0.013426,0.000000,0.000000,0.000000,0.000000e0
0.000013750,0.013673,0.000000,0.000000,0.000000,0.000000e0
0.000014000,0.013920,0.000000,0.000000,0.000000,0.000000e0
